model,roc_auc_mean,roc_auc_std,roc_auc_95ci_low,roc_auc_95ci_high,pr_auc_mean,f1_macro_mean,balanced_acc_mean,mcc_mean,n_folds,weighted_metrics,ci_method
catboost,0.7831,0.0166,0.7641,0.8022,0.9073,0.6934,0.7084,0.3929,20,True,nadeau_bengio
gradient_boosting,0.7773,0.0188,0.7557,0.7988,0.9048,0.6651,0.6465,0.3654,20,True,nadeau_bengio
lightgbm,0.7746,0.0192,0.7526,0.7966,0.902,0.6882,0.6995,0.3805,20,True,nadeau_bengio
random_forest,0.7692,0.0184,0.7481,0.7902,0.8946,0.6442,0.6268,0.3449,20,True,nadeau_bengio
extra_trees,0.7578,0.023,0.7314,0.7843,0.8838,0.6413,0.6249,0.332,20,True,nadeau_bengio
xgboost,0.7557,0.0148,0.7387,0.7726,0.8921,0.6572,0.6429,0.3333,20,True,nadeau_bengio
logistic_regression,0.7543,0.0207,0.7306,0.778,0.8965,0.6489,0.688,0.3323,20,True,nadeau_bengio
naive_bayes,0.7011,0.0222,0.6756,0.7266,0.8559,0.6095,0.6503,0.2632,20,True,nadeau_bengio
knn,0.6997,0.0249,0.6711,0.7282,0.8605,0.6128,0.6025,0.257,20,True,nadeau_bengio
decision_tree,0.6091,0.0143,0.5927,0.6255,0.7974,0.6082,0.6101,0.2173,20,True,nadeau_bengio
