,ALB,MKD,MNE,SRB,BGR,COL,MEX,EST,FIN
SCH_MEAN_HOMEPOS,1,1,34,3,3,1,3,3,16
ANXMAT,2,2,2,2,8,3,2,1,2
SCH_MEAN_TEACHSUP,3,9,13,9,2,15,8,11,14
SCH_MEAN_ESCS,4,3,1,1,1,9,1,2,5
HISCED,5,4,6,8,4,8,12,18,30
HOMEPOS,6,5,5,6,9,4,4,4,4
SCH_N,7,16,12,5,10,11,5,14,18
SCH_MEAN_ANXMAT,8,12,4,12,5,16,13,7,20
MATERIAL_DEFICIT,10,6,14,11,7,12,7,5,9
HISEI,11,10,7,4,14,10,10,6,8
TEACHSUP,13,13,9,14,27,14,9,15,3
_MISS_BELONG,14,7,19,10,21,20,26,37,26
_MISS_ICTHOME,17,35,34,34,23,35,34,23,7
ESCS,18,11,16,20,6,13,19,8,1
REPEAT,22,22,22,34,29,7,14,21,12
GENDER,24,17,8,7,11,5,6,31,10
_MISS_GRADE,32,35,27,21,36,6,29,10,11
_MISS_TEACHSUP,33,8,3,15,20,23,21,29,17
IMMIG,35,26,24,26,34,27,24,27,6
GRADE,36,29,34,34,35,2,28,26,35
