threshold,parity_gap,opportunity_gap,fpr_gap
0.3,0.045637887190727255,0.03466070780226649,0.0006116206812666336
0.35,0.058989566848514086,0.04351009029597608,0.02069947656279214
0.4,0.07572811283166025,0.05636807479873196,0.04233669970631054
0.45,0.08661379334170849,0.07079131768213254,0.03919504665021595
0.5,0.10519115790696887,0.08978796970489089,0.05411034740452042
0.55,0.12521111288206244,0.10646355606857094,0.08187615511311191
0.6,0.13826280789607936,0.12097032643871253,0.09016207995191683
0.65,0.14662970980644685,0.1319019204566887,0.09091208816115343
0.7,0.15884861498276254,0.1486211673400185,0.09238334078512567
