group_col,level_hi,level_lo,cycle,gap,se,ci95_low,ci95_high,z,p_value,rate_hi,rate_lo,sampling_var,imputation_var,n_pv,n_replicates,brr_available,n_hi,n_lo
urbanicity,Rural,Urban,2015,0.16789126778813684,0.019667088824330523,0.129343773692449,0.20643876188382468,8.536660879897761,1.3815627179551661e-17,0.6472776786064408,0.47938641081830397,0.00010778993868397602,0.0002536404037637551,10,80,True,1591,3624
region,North,South,2015,0.0675511838130656,0.028626846704900875,0.011442564271459892,0.1236598033546713,2.3597144494961415,0.01828900674459186,0.5790310779678705,0.5114798941548049,0.0003075318763563302,0.0004654222508268761,10,80,True,1264,1032
sector,Public,Private,2015,0.23819443797466122,0.029651758360626827,0.18007699158783264,0.2963118843614898,8.033062831476071,9.506894932687114e-16,0.5594942804109266,0.3212998424362653,0.00039578387690785907,0.0004394935426992216,10,80,True,4741,474
urbanicity,Rural,Urban,2018,0.09061279064122565,0.015329818821394012,0.060566345751293396,0.12065923553115791,5.910884642339551,3.402752800857063e-09,0.48594593195172403,0.39533314131049835,7.673012794081374e-05,0.0001438847428690476,10,80,True,1785,4574
region,North,South,2018,0.0804853608739736,0.018401682682389984,0.044418062816489225,0.11655265893145797,4.373804410343211,1.2209978345330401e-05,0.5110827838392444,0.4305974229652708,0.00012673387614837945,0.00019262549944999268,10,80,True,1483,1858
sector,Public,Private,2018,0.14794127867974186,0.02315393681501796,0.10255956252230666,0.19332299483717705,6.389465422734726,1.6646667256387053e-10,0.44055404193957004,0.29261276325982816,0.000350026088128903,0.00016916245627721915,10,80,True,5665,694
urbanicity,Rural,Urban,2022,0.09948386205468353,0.01395193114946918,0.07213807700172394,0.1268296471076431,7.130472548129548,1.0002492445816973e-12,0.8116283692824613,0.7121445072277777,4.616380321095457e-05,0.00013499325417143076,10,80,True,1604,4525
region,North,South,2022,0.07046967037966775,0.011186745662183672,0.048543648881787756,0.09239569187754776,6.29938969810385,2.9881985479342155e-10,0.8052657085916923,0.7347960382120247,7.09136746101684e-05,4.929963990928799e-05,10,80,True,1208,1782
sector,Public,Private,2022,0.25502237979809006,0.017553662596296243,0.22061720110934943,0.2894275584868307,14.528157778986753,8.035242891976857e-48,0.7714380901143969,0.5164157103163068,0.0001886023566572557,0.00010866246717032187,10,80,True,5343,786
